text,hs_code,hs_chapter,hs_chapter_name,hs_desc,language
"Run-flat tires for cars, new, 225/50R17",401110,HS 40,Rubber,New pneumatic tyres for cars,en
"Lumber, coniferous, sawn, commercial grade, for import, for export under standard commercial terms, with standard commercial invoice and packing list.",440710,HS 44,Wood,"Lumber, coniferous, sawn",en
"Vacuum cleaners, other than with a self-contained electric motor",850860,HS 85,HS 85,"Vacuum cleaners, other than with a self-contained electric motor",en
"Lighting or visual signalling equipment; electrical, of a kind used on bicycles, excluding articles of heading no. 8539",851210,HS 85,HS 85,"Lighting or visual signalling equipment; electrical, of a kind used on bicycles, excluding articles of heading no. 8539",en
"Alkaloids; of vegetal origin, other than cocaine, ecgonine; salts, esters and other derivatives; n.e.c. in heading no. 2939, for customs clearance and import declaration, with standard commercial invoice and packing list.",293979,HS 29,HS 29,"Alkaloids; of vegetal origin, other than cocaine, ecgonine; salts, esters and other derivatives; n.e.c. in heading no. 2939",en
"Cold-rolled iron or steel coil for industrial/commercial use, for customs clearance and import declaration, with standard commercial invoice and packing list.",720917,HS 72,Steel,Cold-rolled iron or steel coil,en
"Mixtures containing halogenated derivatives of methane, ethane or propane; containing trifluoromethan (HFC-23) or perfluorocarbons (PFCs) not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs); other mixtures n.e.c. in subheading 38",382759,HS 38,HS 38,"Mixtures containing halogenated derivatives of methane, ethane or propane; containing trifluoromethan (HFC-23) or perfluorocarbons (PFCs) not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs); other mixtures n.e.c. in subheading 38",en
"Spices; vanilla, neither crushed nor ground, for bonded warehouse delivery, shipping term FOB.",090510,HS 09,HS 09,"Spices; vanilla, neither crushed nor ground",en
"Cements, mortars or concretes; their prepared additives",382440,HS 38,HS 38,"Cements, mortars or concretes; their prepared additives",en
Dish washing machines; of other than household type,842219,HS 84,HS 84,Dish washing machines; of other than household type,en
"Iron or non-alloy steel; wire, plated or coated with zinc",721720,HS 72,HS 72,"Iron or non-alloy steel; wire, plated or coated with zinc",en
"Milk with fat content 1-6%, commercial grade, for import",040120,HS 04,Dairy,Milk with fat content 1-6%,en
"Medical, surgical instruments and appliances; magnetic resonance imaging apparatus",901813,HS 90,HS 90,"Medical, surgical instruments and appliances; magnetic resonance imaging apparatus",en
"Organic surface-active agents; non-ionic (other than soap), whether or not put up for retail sale, for international wholesale distribution, for scheduled maritime transport.",340242,HS 34,HS 34,"Organic surface-active agents; non-ionic (other than soap), whether or not put up for retail sale",en
"Bedroom armoire, solid wood, walnut",940350,HS 94,Furniture,Wooden bedroom furniture,en
"Organic fresh tomatoes, hydroponic, for bulk procurement program, palletized for container shipment.",070200,HS 07,Vegetables,"Tomatoes, fresh or chilled",en
"Ovens; non-electric, bakery ovens, including biscuit ovens, for regional retail supply chain, palletized for container shipment.",841720,HS 84,HS 84,"Ovens; non-electric, bakery ovens, including biscuit ovens",en
"Fabrics, woven; of cotton, unbleached, weighing more than 200g/m2, n.e.c. in chapter 52, for international wholesale distribution, packed in cartons.",521221,HS 52,HS 52,"Fabrics, woven; of cotton, unbleached, weighing more than 200g/m2, n.e.c. in chapter 52",en
Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,250100,HS 25,HS 25,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,en
Mules and hinnies; live,010190,HS 01,HS 01,Mules and hinnies; live,en
"Copper; powders of lamellar structure, flakes, for cross-border shipment, shipping term CIF.",740620,HS 74,HS 74,"Copper; powders of lamellar structure, flakes",en
Turbo-propellers; of a power not exceeding 1100kW,841121,HS 84,HS 84,Turbo-propellers; of a power not exceeding 1100kW,en
"Acids; carboxylic acids, (with phenol function but without other oxygen function), o-acetylsalicylic acid, its salts and esters, for bulk procurement program, palletized for container shipment.",291822,HS 29,HS 29,"Acids; carboxylic acids, (with phenol function but without other oxygen function), o-acetylsalicylic acid, its salts and esters",en
Paper and paperboard; envelopes,481710,HS 48,HS 48,Paper and paperboard; envelopes,en
"Vegetable preparations; vegetables and mixtures of vegetables n.e.c. in heading no. 2005, prepared or preserved otherwise than by vinegar or acetic acid, not frozen, for cross-border shipment, for scheduled maritime transport.",200599,HS 20,HS 20,"Vegetable preparations; vegetables and mixtures of vegetables n.e.c. in heading no. 2005, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",en
"T-shirts, singlets and other vests; of cotton, knitted or crocheted",610910,HS 61,Garments,"T-shirts and singlets, cotton, knitted",en
Hydrogen chloride (hydrochloric acid),280610,HS 28,HS 28,Hydrogen chloride (hydrochloric acid),en
"Acids; acyclic polycarboxylic acids; oxalic acid, its salts and esters",291711,HS 29,HS 29,"Acids; acyclic polycarboxylic acids; oxalic acid, its salts and esters",en
"Nickel; wire, of nickel alloys, for customs clearance and import declaration, with standard commercial invoice and packing list.",750522,HS 75,HS 75,"Nickel; wire, of nickel alloys",en
"Parts for filtering machinery, commercial grade, for import",842199,HS 84,Machinery,Parts for filtering machinery,en
"Colouring matter; pigments and preparations based on titanium dioxide, containing less than 80% by weight of titanium dioxide calculated on the dry weight",320619,HS 32,HS 32,"Colouring matter; pigments and preparations based on titanium dioxide, containing less than 80% by weight of titanium dioxide calculated on the dry weight",en
"Cranes and derricks; for other than mounting on road vehicles, n.e.c. in heading no. 8426",842699,HS 84,HS 84,"Cranes and derricks; for other than mounting on road vehicles, n.e.c. in heading no. 8426",en
"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. not exceeding 5 tonnes), n.e.c. in item no 8704.1, for bonded warehouse delivery, packed in cartons.",870431,HS 87,HS 87,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. not exceeding 5 tonnes), n.e.c. in item no 8704.1",en
"Aquatic invertebrates; other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, live, fresh, chilled, frozen, dried, salted or in brine, smoked, cooked or not before or during smoking",030890,HS 03,HS 03,"Aquatic invertebrates; other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, live, fresh, chilled, frozen, dried, salted or in brine, smoked, cooked or not before or during smoking",en
"Iron or non-alloy steel (excluding cast iron); seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles of circular cross-section",730431,HS 73,HS 73,"Iron or non-alloy steel (excluding cast iron); seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles of circular cross-section",en
"Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, diethyl ether",290911,HS 29,HS 29,"Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, diethyl ether",en
"Sailboats; (other than inflatable) with or without auxiliary motor, for pleasure or sports, of a length exceeding 24m, for export under standard commercial terms, for scheduled maritime transport.",890323,HS 89,HS 89,"Sailboats; (other than inflatable) with or without auxiliary motor, for pleasure or sports, of a length exceeding 24m",en
"Milk with fat content 1-6%, packed for international trade, for international wholesale distribution, shipping term FOB.",040120,HS 04,Dairy,Milk with fat content 1-6%,en
"Waste and scrap of precious metal or of metal clad with precious metal; ash containing precious metal or precious metal compounds, for international wholesale distribution, palletized for container shipment.",711230,HS 71,HS 71,Waste and scrap of precious metal or of metal clad with precious metal; ash containing precious metal or precious metal compounds,en
"Export grade electronic integrated circuits, memories, certified",854232,HS 85,Electronics,"Electronic integrated circuits, memories",en
"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",021011,HS 02,HS 02,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",en
"Friction material and articles thereof (e.g. sheets, rolls, strips, segments, discs, washers, pads) not mounted; for clutches or the like (not brake linings and pads), with a basis of mineral substances or cellulose (other than asbestos), for regional retail supply chain, shipping term CIF.",681389,HS 68,HS 68,"Friction material and articles thereof (e.g. sheets, rolls, strips, segments, discs, washers, pads) not mounted; for clutches or the like (not brake linings and pads), with a basis of mineral substances or cellulose (other than asbestos)",en
"Monophenols; n.e.c. in item no. 2907.1, for regional retail supply chain, for 20ft container loading.",290719,HS 29,HS 29,Monophenols; n.e.c. in item no. 2907.1,en
"Sulphates; n.e.c. in item no. 2833.2, for industrial procurement contract, with standard commercial invoice and packing list.",283329,HS 28,HS 28,Sulphates; n.e.c. in item no. 2833.2,en
"Fruit, edible; dates, fresh or dried, for export under standard commercial terms, palletized for container shipment.",080410,HS 08,HS 08,"Fruit, edible; dates, fresh or dried",en
"Steel, stainless; casing and tubing of a kind used in drilling for oil and gas, n.e.c. in chapter 73, welded, (not seamless)",730621,HS 73,HS 73,"Steel, stainless; casing and tubing of a kind used in drilling for oil and gas, n.e.c. in chapter 73, welded, (not seamless)",en
"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; containing by weight more than 50% of alumina (Al2o3), of silica (SiO2) or of a mixture or compound of these",690220,HS 69,HS 69,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; containing by weight more than 50% of alumina (Al2o3), of silica (SiO2) or of a mixture or compound of these",en
"Reagents; diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, whether or not put up in the form of kits; for zika and other diseases transmitted by mosquitoes of the genus Aedes, for bulk procurement program, for scheduled maritime transport.",382212,HS 38,HS 38,"Reagents; diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, whether or not put up in the form of kits; for zika and other diseases transmitted by mosquitoes of the genus Aedes",en
"Pens; felt tipped and other porous-tipped pens and markers, for bonded warehouse delivery, shipping term FOB.",960820,HS 96,HS 96,Pens; felt tipped and other porous-tipped pens and markers,en
"Khaki cotton pants, men's casual",620342,HS 62,Garments,Men's trousers of cotton,en
"Amine-function compounds; acyclic polyamines and their derivatives, ethylenediamine and its salts",292121,HS 29,HS 29,"Amine-function compounds; acyclic polyamines and their derivatives, ethylenediamine and its salts",en
"Sauces; soya, for export under standard commercial terms, for mixed-lot cargo.",210310,HS 21,HS 21,Sauces; soya,en
Goats; live,010420,HS 01,HS 01,Goats; live,en
"Acids; carboxylic acids, with additional oxygen function (not alcohol, phenol, aldehyde or ketone) and their anhydrides, halides, peroxides and peroxyacids; 2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters",291891,HS 29,HS 29,"Acids; carboxylic acids, with additional oxygen function (not alcohol, phenol, aldehyde or ketone) and their anhydrides, halides, peroxides and peroxyacids; 2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters",en
"Crustaceans; Norway lobsters (Nephrops norvegicus), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking, for international wholesale distribution, palletized for container shipment.",030694,HS 03,HS 03,"Crustaceans; Norway lobsters (Nephrops norvegicus), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking",en
"Spices; cardamoms, crushed or ground",090832,HS 09,HS 09,"Spices; cardamoms, crushed or ground",en
"Rubber; vulcanised (other than hard rubber), erasers, of non-cellular rubber",401692,HS 40,HS 40,"Rubber; vulcanised (other than hard rubber), erasers, of non-cellular rubber",en
"Fresh Braeburn apples, orchard packed, for regional retail supply chain, for scheduled maritime transport.",080810,HS 08,Fruits,Fresh apples,en
"Life-jackets and life-belts, for bonded warehouse delivery, with standard commercial invoice and packing list.",630720,HS 63,HS 63,Life-jackets and life-belts,en
"Base metals or silver; clad with gold, not further worked than semi-manufactured",710900,HS 71,HS 71,"Base metals or silver; clad with gold, not further worked than semi-manufactured",en
"Electrical insulators; of glass, for export under standard commercial terms, shipping term FOB.",854610,HS 85,HS 85,Electrical insulators; of glass,en
"Imported television cameras and digital cameras, customs declaration, for industrial procurement contract, packed in cartons.",852580,HS 85,Electronics,Television cameras and digital cameras,en
"Textile fabrics, rubberised; (excluding those of heading no. 5902 and adhesive tape of a width not exceeding 20cm), knitted or crocheted, for bonded warehouse delivery, shipping term CIF.",590691,HS 59,HS 59,"Textile fabrics, rubberised; (excluding those of heading no. 5902 and adhesive tape of a width not exceeding 20cm), knitted or crocheted",en
"Aquatic invertebrates; sea cucumbers (Stichopus japonicus, Holothuroidea), dried, salted or in brine, smoked, whether or not cooked before or during the smoking process, for bonded warehouse delivery, for mixed-lot cargo.",030819,HS 03,HS 03,"Aquatic invertebrates; sea cucumbers (Stichopus japonicus, Holothuroidea), dried, salted or in brine, smoked, whether or not cooked before or during the smoking process",en
"Weaving machines (looms); parts including their auxiliary machinery, and accessories thereof n.e.c. in item no. 8448.4",844849,HS 84,HS 84,"Weaving machines (looms); parts including their auxiliary machinery, and accessories thereof n.e.c. in item no. 8448.4",en
"Amine-function compounds; acyclic polyamines and their derivatives, and salts thereof, n.e.c. in item no. 2921.2, for bonded warehouse delivery, for scheduled maritime transport.",292129,HS 29,HS 29,"Amine-function compounds; acyclic polyamines and their derivatives, and salts thereof, n.e.c. in item no. 2921.2",en
"Bed linen; of man-made fibres, printed, not knitted or crocheted",630222,HS 63,HS 63,"Bed linen; of man-made fibres, printed, not knitted or crocheted",en
"Export grade combined refrigerator-freezers, certified",841810,HS 84,Machinery,Combined refrigerator-freezers,en
"Waters; other than mineral and aerated, (not containing added sugar or other sweetening matter nor flavoured), ice and snow",220190,HS 22,HS 22,"Waters; other than mineral and aerated, (not containing added sugar or other sweetening matter nor flavoured), ice and snow",en
"Loudspeakers; single, mounted in their enclosures",851821,HS 85,HS 85,"Loudspeakers; single, mounted in their enclosures",en
"Paper and paperboard; folding cartons, boxes and cases, of non-corrugated paper or paperboard, for regional retail supply chain, with standard commercial invoice and packing list.",481920,HS 48,HS 48,"Paper and paperboard; folding cartons, boxes and cases, of non-corrugated paper or paperboard",en
"Magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",847190,HS 84,HS 84,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",en
"Instruments for measuring pressure, meeting international standards",902620,HS 90,Instruments,Instruments for measuring pressure,en
"Vegetable products; fit for human consumption, n.e.c. in heading no. 1212, fresh, chilled, frozen or dried, whether or not ground, for bulk procurement program, for 20ft container loading.",121299,HS 12,HS 12,"Vegetable products; fit for human consumption, n.e.c. in heading no. 1212, fresh, chilled, frozen or dried, whether or not ground",en
"Unmanned aircraft; for remote-controlled flight only, for other than for carriage of passengers, with the maximum take-off weight of more than 7kg but not more than 25kg",880623,HS 88,HS 88,"Unmanned aircraft; for remote-controlled flight only, for other than for carriage of passengers, with the maximum take-off weight of more than 7kg but not more than 25kg",en
"Starch; manioc (cassava), for regional retail supply chain, packed in cartons.",110814,HS 11,HS 11,Starch; manioc (cassava),en
"Furskins; raw, of mink, whole, with or without head, tail or paws, for bonded warehouse delivery, palletized for container shipment.",430110,HS 43,HS 43,"Furskins; raw, of mink, whole, with or without head, tail or paws",en
"Copper; plates, sheets and strip, of a thickness exceeding 0.15mm, of copper alloys (other than copper-zinc base alloys, copper-tin base alloys, copper-nickel base alloys or copper-nickel-zinc base alloys)",740990,HS 74,HS 74,"Copper; plates, sheets and strip, of a thickness exceeding 0.15mm, of copper alloys (other than copper-zinc base alloys, copper-tin base alloys, copper-nickel base alloys or copper-nickel-zinc base alloys)",en
"Track suits and other garments n.e.c.; men's or boys', of man-made fibres (not knitted or crocheted), for customs clearance and import declaration, for 20ft container loading.",621133,HS 62,HS 62,"Track suits and other garments n.e.c.; men's or boys', of man-made fibres (not knitted or crocheted)",en
"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, plain weave, for cross-border shipment, shipping term CIF.",521151,HS 52,HS 52,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, plain weave",en
"Elevators and conveyors; continuous-action, for goods and materials, specially designed for underground use, n.e.c. in item no. 8428.20, for customs clearance and import declaration, palletized for container shipment.",842831,HS 84,HS 84,"Elevators and conveyors; continuous-action, for goods and materials, specially designed for underground use, n.e.c. in item no. 8428.20",en
"Ignition or starting equipment; n.e.c. in heading no. 8511, of a kind used for spark or compression-ignition internal combustion engines, for cross-border shipment, packed in cartons.",851180,HS 85,HS 85,"Ignition or starting equipment; n.e.c. in heading no. 8511, of a kind used for spark or compression-ignition internal combustion engines",en
"OLED television set, 77 inch, colour, for bulk procurement program, for 20ft container loading.",852872,HS 85,Electronics,Other colour TV receivers,en
"Steel, stainless; tube or pipe fittings, threaded elbows, bends and sleeves, for regional retail supply chain, with standard commercial invoice and packing list.",730722,HS 73,HS 73,"Steel, stainless; tube or pipe fittings, threaded elbows, bends and sleeves",en
"Tools; plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",820900,HS 82,HS 82,"Tools; plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",en
"Lighters; pocket, cigarette, gas fuelled, non-refillable, for regional retail supply chain, for scheduled maritime transport.",961310,HS 96,HS 96,"Lighters; pocket, cigarette, gas fuelled, non-refillable",en
"Shipment of women's trousers of cotton, FOB terms, for industrial procurement contract, shipping term CIF.",620462,HS 62,Garments,Women's trousers of cotton,en
"Imported silicon, containing ≥99.99% si, customs declaration",280461,HS 28,Chemicals,"Silicon, containing ≥99.99% Si",en
"Brominated or iodinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.6, for export under standard commercial terms, shipping term CIF.",290369,HS 29,HS 29,Brominated or iodinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.6,en
"Buildings; prefabricated, not of wood, for regional retail supply chain, palletized for container shipment.",940690,HS 94,HS 94,"Buildings; prefabricated, not of wood",en
"Fruit, edible; raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter, for bonded warehouse delivery, for mixed-lot cargo.",081120,HS 08,HS 08,"Fruit, edible; raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter",en
Paraformaldehyde,291260,HS 29,HS 29,Paraformaldehyde,en
"Instantaneous gas water heaters, meeting international standards, for regional retail supply chain, shipping term CIF.",841911,HS 84,Machinery,Instantaneous gas water heaters,en
Vehicles; for transport of persons (other than those of heading no. 8702) n.e.c. in heading no. 8703,870390,HS 87,HS 87,Vehicles; for transport of persons (other than those of heading no. 8702) n.e.c. in heading no. 8703,en
"Fabrics, woven; containing 85% or more by weight of cotton, printed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",520952,HS 52,HS 52,"Fabrics, woven; containing 85% or more by weight of cotton, printed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",en
"Paints and varnishes; (including enamels, lacquers and distempers), prepared water pigments of a kind used for finishing leather",321000,HS 32,HS 32,"Paints and varnishes; (including enamels, lacquers and distempers), prepared water pigments of a kind used for finishing leather",en
"Meat preparations; of swine, meat or meat offal (including mixtures), prepared or preserved, n.e.c. in heading no. 1602",160249,HS 16,HS 16,"Meat preparations; of swine, meat or meat offal (including mixtures), prepared or preserved, n.e.c. in heading no. 1602",en
"Manganese; articles thereof, including waste and scrap, for customs clearance and import declaration, shipping term CIF.",811100,HS 81,HS 81,"Manganese; articles thereof, including waste and scrap",en
Potassium hydroxide (caustic potash),281520,HS 28,HS 28,Potassium hydroxide (caustic potash),en
"Glass; cast glass and rolled glass, profiles, not otherwise worked",700330,HS 70,HS 70,"Glass; cast glass and rolled glass, profiles, not otherwise worked",en
"Máy tính xách tay, màn hình 14 inch, for industrial procurement contract, packed in cartons.",847130,HS 84,Electronics,Portable digital computers <10kg,vi
"Fish; fresh or chilled, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",030241,HS 03,HS 03,"Fish; fresh or chilled, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",en
"Hosiery and footwear; without applied soles, of cotton, knitted or crocheted (excluding graduated compression hosiery, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex), for export under standard commercial terms, for mixed-lot cargo.",611595,HS 61,HS 61,"Hosiery and footwear; without applied soles, of cotton, knitted or crocheted (excluding graduated compression hosiery, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex)",en
"Juice; apple, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",200979,HS 20,HS 20,"Juice; apple, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",en
"Stones; precious and semi-precious, dust and powder, of natural or synthetic precious or semi-precious stones, excluding diamonds",710590,HS 71,HS 71,"Stones; precious and semi-precious, dust and powder, of natural or synthetic precious or semi-precious stones, excluding diamonds",en
"Welding, brazing or soldering machines; parts of the machines of heading no. 8515, for customs clearance and import declaration, shipping term CIF.",851590,HS 85,HS 85,"Welding, brazing or soldering machines; parts of the machines of heading no. 8515",en
"Printed matter; dictionaries, encyclopaedias and serial instalments thereof, for regional retail supply chain, with standard commercial invoice and packing list.",490191,HS 49,HS 49,"Printed matter; dictionaries, encyclopaedias and serial instalments thereof",en
"Yarn, synthetic; filament, monofilament (less than 67 decitex), other than high tenacity or textured yarn, single, twisted more than 50 turns per metre, n.e.c. in heading no. 5402, not for retail sale, not sewing thread",540259,HS 54,HS 54,"Yarn, synthetic; filament, monofilament (less than 67 decitex), other than high tenacity or textured yarn, single, twisted more than 50 turns per metre, n.e.c. in heading no. 5402, not for retail sale, not sewing thread",en
"Sails; for boats, sailboards or landcraft",630630,HS 63,HS 63,"Sails; for boats, sailboards or landcraft",en
Mineral or chemical fertilizers with NPK for industrial/commercial use,310520,HS 31,Chemicals,Mineral or chemical fertilizers with NPK,en
"Musical instrument strings, for international wholesale distribution, shipping term FOB.",920930,HS 92,HS 92,Musical instrument strings,en
"Furniture; parts, of wood, for customs clearance and import declaration, shipping term FOB.",940391,HS 94,HS 94,"Furniture; parts, of wood",en
"Copper; refined, unwrought, cathodes and sections of cathodes",740311,HS 74,Metals,Refined copper cathodes,en
"Trade declaration: whiskies, new",220830,HS 22,Beverages,Whiskies,en
"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution, for export under standard commercial terms, for mixed-lot cargo.",310210,HS 31,HS 31,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",en
"Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37, for customs clearance and import declaration, for 20ft container loading.",852351,HS 85,HS 85,"Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37",en
"Machine tools; for working any material by removal of material; operated by other processes n.e.c. in heading 8456, for bonded warehouse delivery, for 20ft container loading.",845690,HS 84,HS 84,Machine tools; for working any material by removal of material; operated by other processes n.e.c. in heading 8456,en
Chlorides; of aluminium,282732,HS 28,HS 28,Chlorides; of aluminium,en
"Beans, fresh or chilled, quantity: various, for wholesale, for customs clearance and import declaration, shipping term FOB.",070820,HS 07,Vegetables,"Beans, fresh or chilled",en
"Molybdenum; bars and rods, other than those obtained simply by sintering, profiles, plates, sheets, strip and foil, for bonded warehouse delivery, for mixed-lot cargo.",810295,HS 81,HS 81,"Molybdenum; bars and rods, other than those obtained simply by sintering, profiles, plates, sheets, strip and foil",en
"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of cotton, printed",600524,HS 60,HS 60,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of cotton, printed",en
"Static converters, packed for international trade",850440,HS 85,Electronics,Static converters,en
"Machinery; for making or repairing footwear, other than sewing machines",845320,HS 84,HS 84,"Machinery; for making or repairing footwear, other than sewing machines",en
"Nightdresses and pyjamas; women's or girls', of cotton, knitted or crocheted",610831,HS 61,HS 61,"Nightdresses and pyjamas; women's or girls', of cotton, knitted or crocheted",en
Cyanides and cyanide oxides; of sodium,283711,HS 28,HS 28,Cyanides and cyanide oxides; of sodium,en
"Other palm oil, packed for international trade, for customs clearance and import declaration, packed in cartons.",151190,HS 15,Oils,Other palm oil,en
"Storage units for computers, packed for international trade",847170,HS 84,Electronics,Storage units for computers,en
"Watch straps, watch bands, watch bracelets, and parts thereof; of base metal, whether or not gold- or silver-plated",911320,HS 91,HS 91,"Watch straps, watch bands, watch bracelets, and parts thereof; of base metal, whether or not gold- or silver-plated",en
"เสื้อยืดผ้าฝ้ายถัก คอกลม ผู้ชาย, for regional retail supply chain, for scheduled maritime transport.",610910,HS 61,Garments,"T-shirts and singlets, cotton, knitted",th
"Sugars; lactose and lactose syrup, containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter, for export under standard commercial terms, palletized for container shipment.",170211,HS 17,HS 17,"Sugars; lactose and lactose syrup, containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",en
"Trade declaration: soya beans, other, new",120190,HS 12,Oil Seeds,"Soya beans, other",en
"Cà phê nguyên liệu, chưa qua chế biến, for industrial procurement contract, packed in cartons.",090111,HS 09,Coffee/Tea,"Coffee, not roasted, not decaffeinated",vi
"Iron or steel; sanitary ware and parts thereof, excluding sinks, wash basins and baths, for bonded warehouse delivery, shipping term FOB.",732490,HS 73,HS 73,"Iron or steel; sanitary ware and parts thereof, excluding sinks, wash basins and baths",en
"Coin; other than coin of item no. 7118.10, for bonded warehouse delivery, packed in cartons.",711890,HS 71,HS 71,Coin; other than coin of item no. 7118.10,en
"HDPE granules for blow moulding, for customs clearance and import declaration, for 20ft container loading.",390120,HS 39,Plastics,"Polyethylene, specific gravity ≥0.94",en
Helium-3,284540,HS 28,HS 28,Helium-3,en
"Pharmaceutical goods; chemical contraceptive preparations based on hormones, on other products of heading 2937 or on spermicides",300660,HS 30,HS 30,"Pharmaceutical goods; chemical contraceptive preparations based on hormones, on other products of heading 2937 or on spermicides",en
"Copper; bars, rods and profiles, of copper alloys (other than copper-zinc base alloys)",740729,HS 74,HS 74,"Copper; bars, rods and profiles, of copper alloys (other than copper-zinc base alloys)",en
"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives",290950,HS 29,HS 29,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives",en
"Cells and batteries; primary, (other than manganese dioxide, mercuric oxide, silver oxide, lithium or air-zinc), for customs clearance and import declaration, for mixed-lot cargo.",850680,HS 85,HS 85,"Cells and batteries; primary, (other than manganese dioxide, mercuric oxide, silver oxide, lithium or air-zinc)",en
Slag and ash n.e.c. in chapter 26; including seaweed ash (kelp) but excluding ash and residues from the incineration of municipal waste,262190,HS 26,HS 26,Slag and ash n.e.c. in chapter 26; including seaweed ash (kelp) but excluding ash and residues from the incineration of municipal waste,en
"Ethylene glycol, packed for international trade, for international wholesale distribution, shipping term CIF.",290531,HS 29,Chemicals,Ethylene glycol,en
"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations",271019,HS 27,Mineral Fuels,Other medium petroleum oils,en
"Glass fibres; (including glass wool), rovings, for cross-border shipment, for mixed-lot cargo.",701912,HS 70,HS 70,"Glass fibres; (including glass wool), rovings",en
"Brushes; toothbrushes, for bonded warehouse delivery, palletized for container shipment.",960321,HS 96,HS 96,Brushes; toothbrushes,en
"Industrial monocarboxylic fatty acids; acid oils from refining; (other than stearic acid, oleic acid or tall oil fatty acids)",382319,HS 38,HS 38,"Industrial monocarboxylic fatty acids; acid oils from refining; (other than stearic acid, oleic acid or tall oil fatty acids)",en
"Lead-acid accumulators for vehicles, quantity: various, for wholesale, for customs clearance and import declaration, packed in cartons.",850710,HS 85,Electronics,Lead-acid accumulators for vehicles,en
